Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
35;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
35;3;Greedy;[56, 55, 1];[1.0, 0.01639344262295082, 0.0]
35;4;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
35;4;Greedy;[56, 55, 1, 2];[1.0, 0.01639344262295082, 0.0, 0.0]
35;5;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
35;5;Greedy;[56, 55, 1, 2, 3];[1.0, 0.01639344262295082, 0.0, 0.0, 0.0]
36;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
36;2;Greedy;[12, 57];[1.0, 0.9836065573770492]
36;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
36;3;Greedy;[12, 57, 11];[1.0, 0.9836065573770492, 0.9672131147540983]
36;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
36;4;Greedy;[12, 57, 11, 39];[1.0, 0.9836065573770492, 0.9672131147540983, 0.9672131147540983]
36;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
36;5;Greedy;[12, 57, 11, 39, 56];[1.0, 0.9836065573770492, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
37;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
37;2;Greedy;[1, 2];[1.0, 1.0]
37;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
37;3;Greedy;[1, 2, 12];[1.0, 1.0, 1.0]
37;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
37;4;Greedy;[1, 2, 12, 13];[1.0, 1.0, 1.0, 1.0]
37;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
37;5;Greedy;[1, 2, 12, 13, 14];[1.0, 1.0, 1.0, 1.0, 1.0]
